WGEA Quartile,TCA Member Remuneration - Average,Gender - Average,TCA Members - % Women - Average,TCA Members - % Men - Average,TCA Members - Example Roles,Direct Tech Remuneration - Average,Direct Tech Gender - Average,Direct Tech - % Women - Average,Direct Tech - % Men - Average,Australian Average Remuneration - Average,Australian Average Gender - Average,Australian Average - % Women - Average,Australian Average - % Men - Average
Q1 (Lower quartile),"$119,426","49.9% women, 50.1% men",49.9,50.1,"Quartile 1 band include, on average, a median entry-level product designer, a median entry-level hardware engineer, a median entry-level data scientist, or a median senior security analyst.","$97,555","43.2% women, 56.8% men",43.2,56.8,"$74,895","54.0% women, 46.0% men",54.0,46.0
Q2 (Lower-middle quartile),"$171,426","40.0% women, 60.0% men",40.0,60.0,"Low-mid quartile roles include, on average, a median senior marketing operations, a median entry-level sales engineer, a 75th percentile entry-level software engineer, or a median senior security analyst.","$140,831","36.2% women, 63.8% men",36.2,63.8,"$97,490","49.4% women, 50.6% men",49.4,50.6
Q3 (Upper-middle quartile),"$223,766","32.6% women, 67.4% men",32.6,67.4,"Mid-upper quartile roles include, on average, an 75th percentile senior recruiter, a 25th percentile senior sales engineer, a median senior hardware engineer, or a median senior ux researcher.","$181,903","28.9% women, 71.1% men",28.9,71.1,"$121,603","45.0% women, 55.0% men",45.0,55.0
Q4 (Upper quartile),"$396,468","28.9% women, 71.1% men",28.9,71.1,"This top-paying quartile would contain high-level leadership roles including C-Suite and Vice President-level executives as well as top-tier technical roles like a 90th percentile senior product manager, a 75th percentile senior ux researcher.","$292,438","23.3% women, 76.7% men",23.3,76.7,"$193,180","38.7% women, 61.3% men",38.7,61.3
Total workforce,"$227,426","37.8% women, 62.2% men",37.8,62.2,,"$177,752","33.0% women, 67.0% men",33.0,67.0,"$121,567","46.8% women, 53.2% men",46.8,53.2
