Date,Metric,Count,Rolling Average
Aug-12,Internet Publishing and Broadcasting,1.5,1.35
Aug-12,Internet Service Providers and Web Search Portals,1.7,2.28
Aug-12,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,1.27
Aug-12,Computer System Design and Related Services,130.9,132.62
Nov-12,Telecommunications Services,50.0,43.12
Nov-12,Internet Service Providers and Web Search Portals,2.6,2.33
Nov-12,"Data Processing, Web Hosting and Electronic Information Storage Services",1.9,1.48
Nov-12,Computer System Design and Related Services,130.9,131.25
Feb-13,Telecommunications Services,43.8,45.68
Feb-13,Internet Service Providers and Web Search Portals,2.6,2.6
Feb-13,"Data Processing, Web Hosting and Electronic Information Storage Services",1.1,1.5
Feb-13,Computer System Design and Related Services,127.1,130.4
May-13,Telecommunications Services,45.5,47.15
May-13,Internet Service Providers and Web Search Portals,4.7,2.9
May-13,"Data Processing, Web Hosting and Electronic Information Storage Services",2.4,1.68
May-13,Computer System Design and Related Services,132.5,130.35
Aug-13,Telecommunications Services,38.0,44.32
Aug-13,Computer System Design and Related Services,144.0,133.62
Nov-13,Telecommunications Services,31.3,39.65
Nov-13,Internet Service Providers and Web Search Portals,1.0,2.72
Nov-13,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,1.68
Nov-13,Computer System Design and Related Services,131.1,133.68
Feb-14,Telecommunications Services,42.9,39.42
Feb-14,Internet Service Providers and Web Search Portals,1.5,2.45
Feb-14,"Data Processing, Web Hosting and Electronic Information Storage Services",1.0,1.45
Feb-14,Computer System Design and Related Services,133.6,135.3
May-14,Telecommunications Services,51.1,40.82
May-14,"Data Processing, Web Hosting and Electronic Information Storage Services",1.6,1.58
May-14,Computer System Design and Related Services,138.1,136.7
Aug-14,Telecommunications Services,57.9,45.8
Aug-14,"Data Processing, Web Hosting and Electronic Information Storage Services",2.1,1.5
Aug-14,Computer System Design and Related Services,155.8,139.65
Nov-14,Telecommunications Services,52.5,51.1
Nov-14,Internet Service Providers and Web Search Portals,1.6,2.2
Nov-14,"Data Processing, Web Hosting and Electronic Information Storage Services",1.2,1.48
Nov-14,Computer System Design and Related Services,133.3,140.2
Feb-15,Telecommunications Services,44.4,51.48
Feb-15,Internet Service Providers and Web Search Portals,1.4,1.38
Feb-15,"Data Processing, Web Hosting and Electronic Information Storage Services",4.3,2.3
Feb-15,Computer System Design and Related Services,138.9,141.52
May-15,Telecommunications Services,49.7,51.12
May-15,Internet Service Providers and Web Search Portals,1.5,1.5
May-15,"Data Processing, Web Hosting and Electronic Information Storage Services",2.8,2.6
May-15,Computer System Design and Related Services,155.7,145.93
Aug-15,Telecommunications Services,46.1,48.18
Aug-15,Internet Service Providers and Web Search Portals,6.9,2.85
Aug-15,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,2.4
Aug-15,Computer System Design and Related Services,153.3,145.3
Nov-15,Telecommunications Services,52.3,48.12
Nov-15,Internet Service Providers and Web Search Portals,1.9,2.92
Nov-15,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,2.43
Nov-15,Computer System Design and Related Services,141.1,147.25
Feb-16,Telecommunications Services,47.0,48.78
Feb-16,Internet Service Providers and Web Search Portals,5.7,4.0
Feb-16,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,1.68
Feb-16,Computer System Design and Related Services,146.0,149.02
May-16,Telecommunications Services,44.5,47.48
May-16,Internet Service Providers and Web Search Portals,4.0,4.62
May-16,Computer System Design and Related Services,154.0,148.6
