Australian Bureau of Statistics

"Labour Force Survey, 2006 to 2026"
"Survey month, Industry of main job (ANZSIC 2006) and Occupation of main job (ANZSCO 2013 v1.3)"
"Counting: Weighted count of Person"

Filters:
"Default Summation","Weighted count of Person (#)"

,,"Counting","Weighted count of Person","Weighted count of Person - RSE","Weighted count of Person - Annotations",
"Survey month","Industry of main job (ANZSIC 2006)","Occupation of main job (ANZSCO 2013 v1.3)",
"Aug-13","Non Tech Sector Industries","Tech occupations",330.7,4.23,,
,,"Non tech occupations",10751.3,0.43,,
,"Tech Sector Industries","Tech occupations",183.3,4.29,,
,,"Non tech occupations",93.8,5.20,,
"Nov-13","Non Tech Sector Industries","Tech occupations",338.9,4.22,,
,,"Non tech occupations",10853.1,0.34,,
,"Tech Sector Industries","Tech occupations",165.4,4.64,,
,,"Non tech occupations",89.7,7.44,,
"Feb-14","Non Tech Sector Industries","Tech occupations",322.9,3.27,,
,,"Non tech occupations",10861.6,0.46,,
,"Tech Sector Industries","Tech occupations",179.3,4.31,,
,,"Non tech occupations",99.1,8.28,,
"May-14","Non Tech Sector Industries","Tech occupations",325.4,4.09,,
,,"Non tech occupations",10944.3,0.54,,
,"Tech Sector Industries","Tech occupations",190.7,4.91,,
,,"Non tech occupations",91.4,9.39,,
"Aug-14","Non Tech Sector Industries","Tech occupations",338.9,4.10,,
,,"Non tech occupations",10920.5,0.43,,
,"Tech Sector Industries","Tech occupations",214.5,4.10,,
,,"Non tech occupations",97.1,8.35,,
"Nov-14","Non Tech Sector Industries","Tech occupations",330.5,3.19,,
,,"Non tech occupations",10963.9,0.42,,
,"Tech Sector Industries","Tech occupations",189.3,5.14,,
,,"Non tech occupations",97.4,7.23,,
"Feb-15","Non Tech Sector Industries","Tech occupations",359.6,3.81,,
,,"Non tech occupations",11077.6,0.34,,
,"Tech Sector Industries","Tech occupations",190.8,4.92,,
,,"Non tech occupations",96.1,6.84,,
"May-15","Non Tech Sector Industries","Tech occupations",359.8,3.74,,
,,"Non tech occupations",11109.9,0.34,,
,"Tech Sector Industries","Tech occupations",208.1,4.42,,
,,"Non tech occupations",104.5,6.49,,
"Aug-15","Non Tech Sector Industries","Tech occupations",332.3,3.25,,
,,"Non tech occupations",11064,0.43,,
,"Tech Sector Industries","Tech occupations",207.8,5.08,,
,,"Non tech occupations",96.8,7.67,,
"Nov-15","Non Tech Sector Industries","Tech occupations",340.5,3.44,,
,,"Non tech occupations",11296.6,0.38,,
,"Tech Sector Industries","Tech occupations",196.2,4.65,,
,,"Non tech occupations",102,7.10,,
"Feb-16","Non Tech Sector Industries","Tech occupations",352.7,3.69,,
,,"Non tech occupations",11327.6,0.32,,
,"Tech Sector Industries","Tech occupations",200,5.10,,
,,"Non tech occupations",99.3,8.21,,
"May-16","Non Tech Sector Industries","Tech occupations",359.3,2.37,,
,,"Non tech occupations",11333.7,0.44,,
,"Tech Sector Industries","Tech occupations",201.1,4.38,,
,,"Non tech occupations",107.4,8.17,,
"Aug-16","Non Tech Sector Industries","Tech occupations",361.3,3.24,,
,,"Non tech occupations",11207.1,0.37,,
,"Tech Sector Industries","Tech occupations",205.5,5.00,,
,,"Non tech occupations",122.2,6.72,,
"Nov-16","Non Tech Sector Industries","Tech occupations",345.9,3.16,,
,,"Non tech occupations",11368.2,0.36,,
,"Tech Sector Industries","Tech occupations",206.8,5.35,,
,,"Non tech occupations",110,6.91,,
"Feb-17","Non Tech Sector Industries","Tech occupations",341.3,3.20,,
,,"Non tech occupations",11411,0.35,,
,"Tech Sector Industries","Tech occupations",204.5,4.87,,
,,"Non tech occupations",107.6,6.50,,
"May-17","Non Tech Sector Industries","Tech occupations",359.2,3.49,,
,,"Non tech occupations",11534.6,0.36,,
,"Tech Sector Industries","Tech occupations",218.6,4.83,,
,,"Non tech occupations",118.8,5.47,,
"Aug-17","Non Tech Sector Industries","Tech occupations",348.8,3.92,,
,,"Non tech occupations",11538,0.31,,
,"Tech Sector Industries","Tech occupations",217.6,4.94,,
,,"Non tech occupations",118,6.12,,
"Nov-17","Non Tech Sector Industries","Tech occupations",347.2,3.66,,
,,"Non tech occupations",11744.5,0.48,,
,"Tech Sector Industries","Tech occupations",219,4.11,,
,,"Non tech occupations",107.3,6.44,,
"Feb-18","Non Tech Sector Industries","Tech occupations",360,3.59,,
,,"Non tech occupations",11767.1,0.46,,
,"Tech Sector Industries","Tech occupations",241,4.58,,
,,"Non tech occupations",101.3,7.68,,
"May-18","Non Tech Sector Industries","Tech occupations",374.2,3.61,,
,,"Non tech occupations",11796.5,0.39,,
,"Tech Sector Industries","Tech occupations",249.9,4.54,,
,,"Non tech occupations",105.9,7.87,,
"Aug-18","Non Tech Sector Industries","Tech occupations",383.2,3.02,,
,,"Non tech occupations",11751.6,0.40,,
,"Tech Sector Industries","Tech occupations",259,4.98,,
,,"Non tech occupations",133.5,6.59,,
"Nov-18","Non Tech Sector Industries","Tech occupations",389.9,4.34,,
,,"Non tech occupations",11975.4,0.42,,
,"Tech Sector Industries","Tech occupations",232.9,4.23,,
,,"Non tech occupations",101,7.10,,
"Feb-19","Non Tech Sector Industries","Tech occupations",435.8,3.46,,
,,"Non tech occupations",11990.4,0.44,,
,"Tech Sector Industries","Tech occupations",243.6,5.33,,
,,"Non tech occupations",109.1,8.28,,
"May-19","Non Tech Sector Industries","Tech occupations",426.4,3.16,,
,,"Non tech occupations",12094.4,0.48,,
,"Tech Sector Industries","Tech occupations",235.2,5.16,,
,,"Non tech occupations",119,6.01,,
"Aug-19","Non Tech Sector Industries","Tech occupations",402.8,4.05,,
,,"Non tech occupations",12066.3,0.44,,
,"Tech Sector Industries","Tech occupations",240.4,5.98,,
,,"Non tech occupations",112.1,5.38,,
"Nov-19","Non Tech Sector Industries","Tech occupations",429.3,3.33,,
,,"Non tech occupations",12163,0.39,,
,"Tech Sector Industries","Tech occupations",230.4,5.18,,
,,"Non tech occupations",110.2,6.06,,
"Feb-20","Non Tech Sector Industries","Tech occupations",402.9,3.71,,
,,"Non tech occupations",12208.3,0.36,,
,"Tech Sector Industries","Tech occupations",262.6,4.48,,
,,"Non tech occupations",108.6,5.09,,
"May-20","Non Tech Sector Industries","Tech occupations",410.2,2.75,,
,,"Non tech occupations",11356,0.47,,
,"Tech Sector Industries","Tech occupations",253.3,4.94,,
,,"Non tech occupations",106,10.10,,
"Aug-20","Non Tech Sector Industries","Tech occupations",431.7,3.75,,
,,"Non tech occupations",11698.8,0.42,,
,"Tech Sector Industries","Tech occupations",255.2,5.17,,
,,"Non tech occupations",115.7,7.23,,
"Nov-20","Non Tech Sector Industries","Tech occupations",437.3,3.56,,
,,"Non tech occupations",11983.8,0.48,,
,"Tech Sector Industries","Tech occupations",273.2,4.64,,
,,"Non tech occupations",107.7,8.11,,
"Feb-21","Non Tech Sector Industries","Tech occupations",452.1,3.80,,
,,"Non tech occupations",12106,0.36,,
,"Tech Sector Industries","Tech occupations",283.7,4.95,,
,,"Non tech occupations",107.7,5.92,,
"May-21","Non Tech Sector Industries","Tech occupations",460.3,3.74,,
,,"Non tech occupations",12276.7,0.41,,
,"Tech Sector Industries","Tech occupations",259.6,5.64,,
,,"Non tech occupations",125.4,5.81,,
"Aug-21","Non Tech Sector Industries","Tech occupations",458.3,4.02,,
,,"Non tech occupations",12074.5,0.39,,
,"Tech Sector Industries","Tech occupations",244.4,5.43,,
,,"Non tech occupations",116.4,8.41,,
"Nov-21","Non Tech Sector Industries","Tech occupations",484.2,3.39,,
,,"Non tech occupations",12329.1,0.41,,
,"Tech Sector Industries","Tech occupations",268,4.51,,
,,"Non tech occupations",122.5,6.91,,
"Feb-22","Non Tech Sector Industries","Tech occupations",490.8,3.82,,
,,"Non tech occupations",12534.1,0.39,,
,"Tech Sector Industries","Tech occupations",286,4.73,,
,,"Non tech occupations",130.1,6.26,,
"May-22","Non Tech Sector Industries","Tech occupations",491.9,3.59,,
,,"Non tech occupations",12662.4,0.39,,
,"Tech Sector Industries","Tech occupations",292,5.11,,
,,"Non tech occupations",124.8,6.32,,
"Aug-22","Non Tech Sector Industries","Tech occupations",473.8,3.25,,
,,"Non tech occupations",12672.7,0.37,,
,"Tech Sector Industries","Tech occupations",299.2,4.50,,
,,"Non tech occupations",153.6,6.96,,
"Nov-22","Non Tech Sector Industries","Tech occupations",493.8,3.01,,
,,"Non tech occupations",12881.6,0.40,,
,"Tech Sector Industries","Tech occupations",309.3,4.77,,
,,"Non tech occupations",161.8,5.84,,
"Feb-23","Non Tech Sector Industries","Tech occupations",532.6,3.37,,
,,"Non tech occupations",12958.7,0.44,,
,"Tech Sector Industries","Tech occupations",286.8,4.95,,
,,"Non tech occupations",145.9,6.50,,
"May-23","Non Tech Sector Industries","Tech occupations",516.8,3.18,,
,,"Non tech occupations",13161.5,0.41,,
,"Tech Sector Industries","Tech occupations",279.9,5.51,,
,,"Non tech occupations",144.3,6.09,,
"Aug-23","Non Tech Sector Industries","Tech occupations",507.4,3.53,,
,,"Non tech occupations",13086.6,0.51,,
,"Tech Sector Industries","Tech occupations",304.3,5.10,,
,,"Non tech occupations",126.3,7.01,,
"Nov-23","Non Tech Sector Industries","Tech occupations",556.8,2.20,,
,,"Non tech occupations",13275.3,0.27,,
,"Tech Sector Industries","Tech occupations",292.2,4.66,,
,,"Non tech occupations",144.6,6.54,,
"Feb-24","Non Tech Sector Industries","Tech occupations",571.1,3.52,,
,,"Non tech occupations",13333.1,0.41,,
,"Tech Sector Industries","Tech occupations",301.4,3.81,,
,,"Non tech occupations",130.3,6.46,,
"May-24","Non Tech Sector Industries","Tech occupations",548.5,2.57,,
,,"Non tech occupations",13379.3,0.38,,
,"Tech Sector Industries","Tech occupations",321.2,4.80,,
,,"Non tech occupations",136.8,6.47,,
"Aug-24","Non Tech Sector Industries","Tech occupations",525.4,3.31,,
,,"Non tech occupations",13365.7,0.29,,
,"Tech Sector Industries","Tech occupations",303.9,4.70,,
,,"Non tech occupations",133.5,6.79,,
"Nov-24","Non Tech Sector Industries","Tech occupations",509.1,3.39,,
,,"Non tech occupations",13605.6,0.33,,
,"Tech Sector Industries","Tech occupations",287,4.89,,
,,"Non tech occupations",135.1,8.12,,
"Feb-25","Non Tech Sector Industries","Tech occupations",534.2,3.75,,
,,"Non tech occupations",13610.5,0.37,,
,"Tech Sector Industries","Tech occupations",275.5,5.14,,
,,"Non tech occupations",123.4,7.65,,
"May-25","Non Tech Sector Industries","Tech occupations",527.1,2.85,,
,,"Non tech occupations",13727.4,0.40,,
,"Tech Sector Industries","Tech occupations",305.2,4.42,,
,,"Non tech occupations",128.7,7.20,,
"Aug-25","Non Tech Sector Industries","Tech occupations",573.1,3.42,,
,,"Non tech occupations",13504.2,0.39,,
,"Tech Sector Industries","Tech occupations",297.1,4.90,,
,,"Non tech occupations",139.3,7.50,,
"Nov-25","Non Tech Sector Industries","Tech occupations",580.1,4.53,,
,,"Non tech occupations",13677.8,0.35,,
,"Tech Sector Industries","Tech occupations",318.1,4.27,,
,,"Non tech occupations",113.2,8.76,,
"Total","Non Tech Sector Industries","Tech occupations",29916.2,0.68,,
,,"Non tech occupations",893292.4,0.10,,
,"Tech Sector Industries","Tech occupations",16869.2,0.97,,
,,"Non tech occupations",8574.3,1.23,,

"Dataset: Labour Force Survey, 2006 to 2026, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals."
"INFO","Continuous variables in this table have been randomly adjusted to avoid the release of confidential data."


Symbol,Description
"#","(000's)"


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
