Australian Bureau of Statistics

"Labour Force Survey, 2006 to 2026"
"Survey month and Industry of main job (ANZSIC 2006) by Occupation of main job (ANZSCO 2013 v1.3)"
"Counting: Weighted count of Person"

Filters:
"Default Summation","Weighted count of Person (#)"
"Occupation of main job (ANZSCO 2013 v1.3)","Tech occupations"

,"Counting","Weighted count of Person","Weighted count of Person - RSE","Weighted count of Person - Annotations",
"Survey month","Industry of main job (ANZSIC 2006)",
,"Internet Service Providers and Web Search Portals",2,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1,np,"**",
,"Computer System Design and Related Services",122.9,4.66,,
,"Total",172.9,3.49,,
"Aug-11","Telecommunications Services",35.3,8.76,,
,"Internet Publishing and Broadcasting",1.3,np,"**",
,"Internet Service Providers and Web Search Portals",2.6,37.78,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,44.71,"*",
,"Computer System Design and Related Services",125.1,5.52,,
,"Total",165.5,4.61,,
"Nov-11","Telecommunications Services",31.6,12.02,,
,"Internet Service Providers and Web Search Portals",2.4,np,"**",
,"Computer System Design and Related Services",136.4,6.94,,
,"Total",170.5,5.58,,
"Feb-12","Telecommunications Services",33.6,8.71,,
,"Internet Service Providers and Web Search Portals",1.5,np,"**",
,"Computer System Design and Related Services",130.5,5.22,,
,"Total",166.1,4.82,,
"May-12","Telecommunications Services",39.6,9.95,,
,"Internet Service Providers and Web Search Portals",3.5,33.29,"*",
,"Computer System Design and Related Services",132.7,5.38,,
,"Total",175.7,4.05,,
"Aug-12","Telecommunications Services",49.3,7.05,,
,"Internet Publishing and Broadcasting",1.5,np,"**",
,"Internet Service Providers and Web Search Portals",1.7,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,np,"**",
,"Computer System Design and Related Services",130.9,6.13,,
,"Total",182.9,5.09,,
"Nov-12","Telecommunications Services",50,7.40,,
,"Internet Service Providers and Web Search Portals",2.6,30.69,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.9,np,"**",
,"Computer System Design and Related Services",130.9,5.93,,
,"Total",183.2,5.25,,
"Feb-13","Telecommunications Services",43.8,8.44,,
,"Internet Service Providers and Web Search Portals",2.6,38.92,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.1,np,"**",
,"Computer System Design and Related Services",127.1,6.36,,
,"Total",176,4.69,,
"May-13","Telecommunications Services",45.5,10.34,,
,"Internet Service Providers and Web Search Portals",4.7,30.48,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.4,46.31,"*",
,"Computer System Design and Related Services",132.5,6.10,,
,"Total",182.8,5.32,,
"Aug-13","Telecommunications Services",38,12.61,,
,"Computer System Design and Related Services",144,4.18,,
,"Total",183.3,4.29,,
"Nov-13","Telecommunications Services",31.3,12.22,,
,"Internet Service Providers and Web Search Portals",1,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,np,"**",
,"Computer System Design and Related Services",131.1,5.45,,
,"Total",165.4,4.64,,
"Feb-14","Telecommunications Services",42.9,9.38,,
,"Internet Service Providers and Web Search Portals",1.5,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1,np,"**",
,"Computer System Design and Related Services",133.6,4.99,,
,"Total",179.3,4.31,,
"May-14","Telecommunications Services",51.1,10.72,,
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.6,np,"**",
,"Computer System Design and Related Services",138.1,5.69,,
,"Total",190.7,4.91,,
"Aug-14","Telecommunications Services",57.9,9.97,,
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.1,np,"**",
,"Computer System Design and Related Services",155.8,5.51,,
,"Total",214.5,4.10,,
"Nov-14","Telecommunications Services",52.5,10.01,,
,"Internet Service Providers and Web Search Portals",1.6,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.2,np,"**",
,"Computer System Design and Related Services",133.3,5.92,,
,"Total",189.3,5.14,,
"Feb-15","Telecommunications Services",44.4,8.14,,
,"Internet Service Providers and Web Search Portals",1.4,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",4.3,35.55,"*",
,"Computer System Design and Related Services",138.9,5.86,,
,"Total",190.8,4.92,,
"May-15","Telecommunications Services",49.7,8.23,,
,"Internet Service Providers and Web Search Portals",1.5,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.8,46.29,"*",
,"Computer System Design and Related Services",155.7,5.24,,
,"Total",208.1,4.42,,
"Aug-15","Telecommunications Services",46.1,10.34,,
,"Internet Service Providers and Web Search Portals",6.9,28.64,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,np,"**",
,"Computer System Design and Related Services",153.3,5.56,,
,"Total",207.8,5.08,,
"Nov-15","Telecommunications Services",52.3,11.93,,
,"Internet Service Providers and Web Search Portals",1.9,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,np,"**",
,"Computer System Design and Related Services",141.1,5.09,,
,"Total",196.2,4.65,,
"Feb-16","Telecommunications Services",47,11.06,,
,"Internet Service Providers and Web Search Portals",5.7,35.42,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,np,"**",
,"Computer System Design and Related Services",146,6.66,,
,"Total",200,5.10,,
"May-16","Telecommunications Services",44.5,8.38,,
,"Internet Service Providers and Web Search Portals",4,35.82,"*",
,"Computer System Design and Related Services",154,5.56,,
,"Total",201.1,4.38,,
"Aug-16","Telecommunications Services",50.9,8.78,,
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.7,np,"**",
,"Computer System Design and Related Services",149.1,6.62,,
,"Total",205.5,5.00,,
"Nov-16","Telecommunications Services",50.6,10.91,,
,"Internet Service Providers and Web Search Portals",4.3,31.68,"*",
,"Computer System Design and Related Services",152.4,6.63,,
,"Total",206.8,5.35,,
"Feb-17","Telecommunications Services",44.4,10.71,,
,"Internet Publishing and Broadcasting",2.6,45.00,"*",
,"Internet Service Providers and Web Search Portals",3.2,36.75,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.4,np,"**",
,"Computer System Design and Related Services",155,5.25,,
,"Total",204.5,4.87,,
"May-17","Telecommunications Services",47.3,9.52,,
,"Internet Service Providers and Web Search Portals",1.7,np,"**",
,"Computer System Design and Related Services",169.6,6.06,,
,"Total",218.6,4.83,,
"Aug-17","Telecommunications Services",40.1,10.24,,
,"Internet Service Providers and Web Search Portals",3.8,40.53,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.5,np,"**",
,"Computer System Design and Related Services",171.5,6.44,,
,"Total",215.2,4.98,,
"Nov-17","Telecommunications Services",49,8.67,,
,"Internet Service Providers and Web Search Portals",1.2,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.1,np,"**",
,"Computer System Design and Related Services",164.9,4.45,,
,"Total",218.6,4.16,,
"Feb-18","Telecommunications Services",55,8.84,,
,"Internet Service Providers and Web Search Portals",1.5,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,np,"**",
,"Computer System Design and Related Services",180.7,5.48,,
,"Total",241,4.58,,
"May-18","Telecommunications Services",61.9,9.11,,
,"Internet Service Providers and Web Search Portals",2.7,42.92,"*",
