URL,job_title,level,country,data_exists
https://www.levels.fyi/en-gb/t/total-rewards/levels/entry-level/locations/australia,Total Rewards,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/total-rewards/levels/senior/locations/australia,Total Rewards,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/software-engineer/locations/australia,Software Engineer,All,Australia,Data available
https://www.levels.fyi/en-gb/t/software-engineer/levels/entry-level/locations/australia,Software Engineer,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/software-engineer/levels/senior/locations/australia,Software Engineer,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/facilities-manager/locations/australia,Facilities Manager,All,Australia,No data available
https://www.levels.fyi/en-gb/t/facilities-manager/levels/entry-level/locations/australia,Facilities Manager,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/facilities-manager/levels/senior/locations/australia,Facilities Manager,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/software-engineering-manager/locations/australia,Software Engineering Manager,All,Australia,Data available
https://www.levels.fyi/en-gb/t/software-engineering-manager/levels/entry-level/locations/australia,Software Engineering Manager,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/software-engineering-manager/levels/senior/locations/australia,Software Engineering Manager,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/information-technologist/locations/australia,Information Technologist,All,Australia,Data available
https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia,Information Technologist,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia,Information Technologist,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/solution-architect/locations/australia,Solution Architect,All,Australia,Data available
https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,Solution Architect,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,Solution Architect,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/product-designer/locations/australia,Product Designer,All,Australia,Data available
https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,Product Designer,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,Product Designer,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/biz-ops/locations/australia,Biz Ops,All,Australia,Data available
https://www.levels.fyi/en-gb/t/biz-ops/levels/entry-level/locations/australia,Biz Ops,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/biz-ops/levels/senior/locations/australia,Biz Ops,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/recruiter/locations/australia,Recruiter,All,Australia,Data available
https://www.levels.fyi/en-gb/t/recruiter/levels/entry-level/locations/australia,Recruiter,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/recruiter/levels/senior/locations/australia,Recruiter,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/prompt-engineer/locations/australia,Prompt Engineer,All,Australia,No data available
https://www.levels.fyi/en-gb/t/prompt-engineer/levels/entry-level/locations/australia,Prompt Engineer,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/prompt-engineer/levels/senior/locations/australia,Prompt Engineer,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/corp-dev/locations/australia,Corp Dev,All,Australia,No data available
https://www.levels.fyi/en-gb/t/corp-dev/levels/entry-level/locations/australia,Corp Dev,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/corp-dev/levels/senior/locations/australia,Corp Dev,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/biomedical-engineer/locations/australia,Biomedical Engineer,All,Australia,Data available
https://www.levels.fyi/en-gb/t/biomedical-engineer/levels/entry-level/locations/australia,Biomedical Engineer,Entry-Level,Australia,Data available
