WGEA Quartile,TCA Member Remuneration - Average,Gender - Average,TCA Members - % Women - Average,TCA Members - % Men - Average,TCA Members - Example Roles,Direct Tech Remuneration - Average,Direct Tech Gender - Average,Direct Tech - % Women - Average,Direct Tech - % Men - Average,Australian Average Remuneration - Average,Australian Average Gender - Average,Australian Average - % Women - Average,Australian Average - % Men - Average
Q1 (Lower quartile),"$126,980","0.5% women, 99.5% men",0.5,99.5,"Quartile 1 band include, on average, a median entry-level software engineer, a median entry-level hardware engineer, a median entry-level business development, or a median senior hardware engineer.","$106,473","0.4% women, 99.6% men",0.429,99.6,"$78,684","0.5% women, 99.5% men",0.541,99.5
Q2 (Lower-middle quartile),"$181,157","0.4% women, 99.6% men",0.4,99.6,"Low-mid quartile roles include, on average, a median senior recruiter, a median entry-level sales engineer, a median senior data science manager, or a median senior hardware engineer.","$150,699","0.4% women, 99.6% men",0.356,99.6,"$101,484","0.5% women, 99.5% men",0.497,99.5
Q3 (Upper-middle quartile),"$233,373","0.3% women, 99.7% men",0.3,99.7,"Mid-upper quartile roles include, on average, an 75th percentile senior recruiter, a median senior data scientist, a 75th percentile senior product designer, or a median senior product design manager.","$192,212","0.3% women, 99.7% men",0.282,99.7,"$125,966","0.5% women, 99.5% men",0.453,99.5
Q4 (Upper quartile),"$410,078","0.3% women, 99.7% men",0.3,99.7,"This top-paying quartile would contain high-level leadership roles including C-Suite and Vice President-level executives as well as top-tier technical roles like a 75th percentile senior security analyst, a 75th percentile senior ux researcher.","$309,832","0.2% women, 99.8% men",0.226,99.8,"$198,785","0.4% women, 99.6% men",0.394,99.6
Total workforce,"$237,647","0.4% women, 99.6% men",0.4,99.6,,"$189,373","0.3% women, 99.7% men",0.323,99.7,"$125,999","0.5% women, 99.5% men",0.471,99.5
